House,House Name,Transliteration,Meaning
0,?????? ,Mahanarak,The Great Hell
0,?????????? ,Kshudranarak,The Minor Hell
0,?????? ???? ??? ,Mrutyu urfa kabar,"Death, alias the Grave"
1,?????? ,Manushya,Human / Humanity
2,????????? ,Jatmrutyu,The cycle of Birth and Death
3,??????????????? ,Avidyadiksha,Initiation into Ignorance
4,???  ,Khed,Regret / Sorrow
5,????????????,Upanayansanskar,The Sacred Thread Ceremony (Initiation)
6,??????????  ,Brahmacharya,The stage of Celibacy / Student life
7,???????,Shraddha,Faith / Devotion
8,??????  ,Gruhastha,The stage of the Householder
9,???????,Paropkar,Selfless service / Benevolence
10,???????? ,Dushkarma,Evil deeds / Bad Karma
11,????????? ,Buddhinash,Destruction of Intellect
12,??????? ,Papyoni,Birth into sinful / lower life forms
13,????? ,Shravan,Listening to spiritual truths
14,?????? ,Nidra,Sleep / Sloth
15,???? ,Dukha,Suffering / Pain
16,????????? ,Vanaprastha,The stage of Hermit/Forest dweller
17,????  ?????? ,Tamas Ahankar,Ignorant/Inert Ego
18,????????????? ,Daharadyupasana,"Meditation on the ""Small Space"" (within the heart)"
19,????? ???? ,Sukrut Hani,Loss of Good Deeds / Merit
20,????????? ???? ,Varnashram Dharma,Social and Individual duties
21,???? ,Peeda,Suffering / Affliction
22,?????? ,Sanyas,Total Renunciation
23,???????????? ,Smrutivibhram,Confusion of Memory
24,??? ,Kala,Art / Aspect / Skill
25,?????? ,Upasana,Devotional Worship
26,????????? ,Nastikya,Atheism / Unbelief
27,?????? ???????? ,Srushti Utpatti,Creation of the Universe
28,??? ,Manan,Reflection / Contemplation
29,???????????????? ,Sampadatisampadupasana,Meditation on the Highest Accomplishment
30,????????????? ,Nirgunopasana,Worship of the Formless Absolute
31,????????? ,Durvasana,Evil tendencies / Negative mental impressions
32,????????????? ,Tivra Mumuksha,Intense desire for liberation
33,????? ,Baudhya,Enlightenment / The state of being awake
34,?????? ,Kirtan,Devotional chanting or singing
35,??????,Samanvaya,Synthesis / Harmonious integration
36,???????? ,Pashchatap,Remorse / Repentance
37,????? ,Sammoha,Delusion / Total confusion
38,?????????? ,Mlechhamat,Foreign or unscriptural beliefs
39,????????????? ,Ahangrahopasana,Worship of the Self as the Divine
40,????????? ,Praja-peedan,Oppression of people
41,????? ,Dhyana,Meditation / Focused concentration
42,???? ??????????? ,Anya-pratishapadan,Cursing or harming others
43,??????????? ,Vidyabhyas,Pursuit of knowledge / Study
44,????? ,Aalasya,Laziness / Sloth
45,??????????? ,Mumukshutva,The yearning for spiritual freedom
46,????????????????? ,Samyamjanya Siddhibhoga,Enjoyment of powers born of self-control
47,????? ,Smaran,Constant remembrance of the Divine
48,????? ,Himsa,Violence / Harming others
49,????? ,Punya,Merit / Righteous deeds
50,??? ,Shoka,Grief / Sorrow
51,???? ,Sahas,Courage / Boldness
52,???????? ,Dharmantar,Changing one's faith/path
53,???? ????? ,Gauni Bhakti,Secondary/Instrumental devotion
54,???????????????? ,Guruvakya-shraddha,Faith in the Guru’s words
55,??????????? ,Arhanmukti,Deservingness of liberation
56,???????? ,Tamobhumi,The realm of darkness/ignorance
57,?????????? ,Panchamahayajna,The five great daily sacrifices/duties
58,???????????? ,Pankti-prapanch,Favouritism / Sectarianism
59,????? ?????? ,Tivra Anutap,Intense repentance
60,????? ,Krodha,Anger / Wrath
61,??????? ,Padasevan,Serving the feet (of the Guru/Divine)
62,??????????????? ,Aindavasamprakriya,Moon-like (cooling/luminous) method of practice
63,??????? ,Saubhagya,Good fortune / Spiritual auspiciousness
64,??????????????? ,Dharmapatnimanobhanga,Disrespecting/hurting one's wife's feelings
65,????????? ,Panthabhiman,Sectarian pride / Religious arrogance
66,??????? ,Shastra,Sacred Scriptures / Laws
67,?????? ,Satkul,Birth in a noble or virtuous family
68,????? ,Archan,Ritual worship / Offerings
69,???????? ,Rajmandir,Royal Palace (often symbolizes the heart)
70,???? ,Harsha,Excessive joy / Elation
71,???????????? ,Prayashchitta,Atonement / Penance
72,??? ,Kama,Desire / Lust
73,??? ,Yoga,Union / Disciplined practice
74,??????? ,Satkarma,Virtuous actions
75,???????????? ,Bhagavadgunashravan,Listening to the glories of the Divine
76,????? ,Vivek,Discernment / Spiritual wisdom
77,?????? ??? ,Kshanik Vad,Belief in transience (Nihilism/Momentariness)
78,????????,Sukhechha,The desire for happiness (The first stage of wisdom)
79,???? ,Vandan,Prostration / Salutation
80,???????,Dharmaloka,The world of Righteousness
81,?????? ,Shuddhi,Purification
82,??????????? ,Parokshajnan,Indirect knowledge (Theoretical/Bookish)
83,????? ,Jnan,Direct Knowledge / Wisdom
84,??? ,Kapat,Deceit / Hypocrisy
85,?????? ,Pramad,Negligence / Spiritual error
86,?????????? ?????,Samprajnan Samadhi,Concentration with awareness of an object
87,?????????? ,Brahmanya,The quality of being Brahman-like / Divinity
88,??????? ????? ,Kshudra Patake,Minor sins / Transgressions
89,????? ,Dasya,Attitude of a servant to the Divine
90,????????????  ,Matrupitruseva,Service to one's parents
91,??????????? ,Vidyabhiman,Pride in one's knowledge/learning
92,???? ,Sakhya,Friendship with the Divine (one of the 9 Bhaktis)
93,???????? ,Satsamagam,Association with the virtuous/Saints
94,??????????? ,Satguruseva,Service to the True Guru
95,???????? ,Bhogechha,Desire for sensual enjoyment
96,??????????? ,Panchamahapatake,The five great heinous sins
97,?? ,Tapa,Penance / Austerity
98,??????????? ,Chittashuddhi,Purification of the mind
99,????????? ,Nityakarma,Daily obligatory duties
100,??????????? ,Dhumamargadi,"The ""Path of Smoke"" (path to temporary heavens)"
101,?????????? ,Nididhyasan,"Deep, profound meditation on Truth"
102,??????????? ,Jnaneshwari,The Jnaneshwari (sacred text) / Wisdom of Jnanadev
103,???????? ,Bhedabhavana,The feeling of duality/separateness
104,?????????????????????,Karmasamucchedupasanaloka,The realm of combined action and worship
105,??-????????????? ,Go-brahmanarakshan,Protection of cows and Brahmins (dharma)
106,??? ,Sanga,Attachment / Company
107,??????????? ,Atithisatkara,Hospitality / Honoring guests
108,?? ,Bhaya,Fear
109,??????????? ,Vivekakhyati,Discriminating discernment (Highest insight)
110,?????????? ,Pativratya,Devotion to one's husband / Loyalty
111,????????????? ,Brahmavidvesha,Hatred toward Divine knowledge
112,???????????,Pranopasana,Meditation on the Life Force (Prana)
113,?????? ????????????????? ,Shatajanma Brahamakarmasamuccaya,Merit of a hundred births of divine action
114,??? ??????? ,Apara Vairagya,Lower/Preliminary dispassion
115,??????????? ,Brahmadvesha,Enmity toward Brahman/God
116,????? ,Pandhari,Pandharpur (sacred pilgrimage site)
117,?????? ???????? ,Varishtha Ajnabhanga,Disobedience toward elders/superiors
118,???????? ,Panchamarga,The five-fold path
119,??????????? ,Brahmahatya,The sin of killing a Brahmin (the highest sin)
120,???? ,Kashi,Varanasi (the city of spiritual light/liberation)
121,?????????,Manushanand,Human joy / Bliss of being human
122,???? ??? ,Goda Nadi,The Godavari River (Sacred river)
123,?? ,Jaya,Victory / Triumph
124,???? ,Yajna,Sacrifice / Sacred ritual
125,?????? ??? ,Kutumb Kalah,Family discord / Domestic conflict
126,?????? ,Kamalasan,The Lotus posture / Seat of Brahma
127,?????????? ???? ?????? ,Badrikedar Ganga Himalaya,"Badrinath, Kedarnath, Ganges, and Himalayas"
128,???????????????????? ????? ,Shrijnaneshwar Charunodak Teerth,Holy water from the feet of St. Jnaneshwar
129,?????????? ,Vishayanurag,Attachment to sensory objects
130,????????? ,Patanjal Yoga,The Yoga system of Patanjali
131,????????? ,Ved-adhyayann,Study of the Vedas
132,??????????  ,Yoga Vasistha,The Yoga Vasistha (Sacred scripture)
133,???????????????? ,Asamprajnata Samadhi,The highest state of superconsciousness
134,??????? ,Vaisheshik,Vaisheshika (One of the 6 schools of philosophy)
135,???????? ,Murcha,Fainting / Delirium / Swoon
136,????????? ,Para Vairagya,The highest/supreme dispassion
137,?????????? ,Paradhanabhilash,Coveting the wealth of others
138,???????? ??????,Panchagni Upasana,Worship of the Five Fires
139,?????? ,Unmad,Madness / Intoxication / Frenzy
140,????????????? ???? ,Yama-di-dharana-ant-shad-anga,The 6 limbs of Yoga (Yama to Dharana)
141,????????? ,Duh-svapna,Nightmare / Bad dreams
142,????? ,Nyaya,Nyaya (Logic / School of philosophy)
143,????? ?????? ,Kapil Sankhya,The Sankhya philosophy of Sage Kapila
144,??????????????? ,Sarvasti-tva-vad,"Sarvastivada (The ""all exists"" doctrine)"
145,???????????????? ???????????? ,Radhadi-vraj-gopika Madhurya-bhakti,The sweet devotion of Radha and the Gopis
146,?????????? ???? ,Upasana-rahit Karma,Action without worship/devotion
147,?????????? ,Vijnanavad,Vijnanavada (Doctrine of consciousness)
148,??????? ??? ,Paniniya Loka,The world of Panini (Grammarian/Linguistics)
149,"?????, ???????, ???????, ????? ","Jnan, Vairagya, Virakti, Uparati","Wisdom, Dispassion, Detachment, and Withdrawal"
150,????? ,Mathura,Mathura (The sacred birthplace of Krishna)
151,????? ????? ,Ramaneeya Sthan,A delightful/enchanting place
152,?????? ,Jagruti,Waking state / Spiritual wakefulness
153,????????? ????? ,Chaturdham Teerth,The four most sacred pilgrimage sites
154,????? ,Gokul,Gokul (Sacred village of Krishna's childhood)
155, ????????? ,Gurudroh,"Betrayal/Enmity toward the Guru (a major ""snake"")"
156,??????? ,Vrindavan,Vrindavan (Sacred forest of Krishna)
157,???????? ,Su-svapna,Auspicious/Holy dreams
158,??????? ,Ayodhya,Ayodhya (Sacred birthplace of Lord Rama)
159,???????? ?????? ,Karmarahit Upasana,Worship without the desire for fruits of action
160,????????????????? ??????????? ,Mandukyagatanivritta Pranavopasana,Meditation on 'Om' based on the Mandukya Upanishad
161,???????? ,Haridwar,"Haridwar (The ""Gateway to God"")"
162,?????? ,Prayag,Prayagraj (The confluence of sacred rivers)
163,????????? ,Mudraloka,The realm of symbolic gestures/seals (Mudras)
164,???????? ,Yogachyut,One who has fallen from the path of Yoga
165,????? ????? ,Virodh Bhakti,Devotion through opposition/enmity toward God
166,?????? ,Paramhansa,"The ""Supreme Swan"" (A highly liberated soul)"
167,????????? ????? ,Archiradi Marg...,The Path of Light / Vishishtadvaita / Scriptural Truths
168,"????????????????
????????????????????????? 
??????? ",Vi?i???dvait?di ?rutiviruddhadharmaparame?vara Sveekar,Acceptance / Adoption
169,????? ,Bhagavat,The Srimad Bhagavatam / Path of Divine Devotion
170,???? ,Varuna,Varuna (The deity of the cosmic waters)
171,??????????? ,Dakshindwar,"The ""Southern Gate"" (Path of the ancestors)"
172,???????? ,Taditardan,Giving/Bestowing like lightning (Quick merit)
173,????? ,Yamaloka,The Realm of Yama (God of Death/Judgment)
174,?????? ????? ,Panchakosh Vivek,Discernment of the five sheaths of the soul
175,?????? ??????????  ,Manushya Gandharvanand,Bliss of human-like celestial singers
176,???? ,Vayu,Vayu (The deity of Wind/Life-breath)
177,?????,Agni,Agni (The deity of Fire)
178,????? ??? ,Paishach Loka,"The realm of ghosts/demons (a ""snake"" square)"
179,?????? ??? ,Vinayak Loka,The realm of Lord Ganesha
180,??? ????? ,Ghor Patake,Terrible/Heinous sins
181,????? ?????????? ,Ekatra Trayabhyas,Simultaneous practice of the three paths
182,?????? ???? ,Beebhatsa Acharan,Loathsome or disgusting conduct
183,?????? ??? ,Rakshas Loka,The realm of demons
184,???????? ,Kundalini,The serpent power (Internal spiritual energy)
185,???????? ,Dev-dvesha,Enmity toward the Divine
186,??????? ,Yakshaloka,The realm of nature spirits (Yakshas)
187,???????????  ,Jaran-maran-adi,"Sorcery, black magic, and death-related rituals"
188,???? ??? ,Pitru Loka,The realm of the Ancestors
189,????????? ,Pitranand,The bliss/satisfaction of the Ancestors
190,?????????????????????  ,Ganapatyatharvashirshopasana,Worship using the Ganapati Atharvashirsha
191,?????? ??? ,Gandharv Loka,The realm of celestial musicians
192,??? ?????????? ,Dev Gandharvanand,The bliss of divine celestial singers
193,?????????? ,Apsarobhog,Enjoyment with celestial nymphs (a distraction)
194,????? ,Tapanash,Destruction of the fruits of penance
195,???????????? ,Prasthanatray,The three foundational texts of Vedanta
196,???????????? ,Ajannajadevanand,Bliss of the gods born of heaven
197,????????????????????????? ????? ????? ?????? ,Arghyapradan-Adityahridayadi...,Sun worship (Aditya Hridaya) and offerings
198,????? ??? ,Surya Loka,The Realm of the Sun
199,????? ??? ,Chandra Loka,The Realm of the Moon
200,???? ??????? ,Karma Devanand,Bliss of those who become gods through merit
201,????? ??? ,Indra Loka,The Realm of Lord Indra (King of Gods)
202,?????? ,Nandanvan,The Celestial Garden of Indra
203,??????????? ????? ,Panchagnipatan Marg,The path of falling from the Five Fires
204,????????????? ,Vyatirekanvaya,Method of Affirmation and Negation
205,????? ??? ,Sthan Kalah,Conflict over status or position
206,???????? ????? ,Brahman Apaman,Insulting a Brahmin or spiritual wisdom
207,??????? ?????????? ,Animadi Aishwaryabhog,Enjoyment of Siddhis (Psychic powers)
208,???????? ??? ,Bruhaspati Loka,The Realm of Brihaspati (Guru of Gods)
209,???? ?????? ,Rajas Ahankar,Passionate/Restless Ego
210,??????? ??????,Gayatri Upasana,Worship of the Gayatri Mantra
211,??????????? ,Jyotiloka,The Realm of Divine Light
212,?????? ?????? ??? ,Brahma Mahiman Loka,Realm of the Glory of Brahma
213,?????? ?????? ??? ,Shruti Mahiman Loka,Realm of the Glory of the Vedas
214,?????????? ??? ,Satvabhiman Loka,Realm of Pure/Virtuous Pride
215,?????????? ,Atmanivedan,Total Self-Surrender (Highest Bhakti)
216,????? ,Pralaya,Cosmic Dissolution / Destruction
217,??? ??????????  ,Jiva Brahmaikya,Oneness of the Soul and the Absolute
218,??????? ?????????? ,Virochani Vidyagraha,The materialist grasp of Virochana
219,???????? ??? ,Prajapati Loka,The Realm of the Progenitor (Prajapati)
220,????????????????????????? ??????? ,Prajapatividhavachinnendra Pratiti,Indra’s perception of Prajapati's wisdom
221,???? ??? ,Daksha Loka,The Realm of Daksha (The Skilled Creator)
222,??????? ???????? ??? ,Nanavidh Prajapati Loka,Various realms of the Prajapatis
223,?????????????????? ,Brahmavitsampradaya,The tradition of the Knower of Brahman
224,???????? ??? ,Saptarshi Loka,The Realm of the Seven Sages
225,?????????? ??? ,Brahmarshi Loka,The Realm of the Divinely-inspired Sages
226,??????? ??? ,Devarshi Loka,"The Realm of the God-like Sages (e.g., Narada)"
227,???????????????? ??????????? ,Pravrittyavachinna Pranavopasana,Meditation on 'Om' within worldly action
228,?????? ??? ,Prakash Loka,The Realm of Radiance
229,?????? ,Arajya,Absence of a King / Total Anarchy (a snake)
230,????????? ,Samrajya,Universal Sovereignty
231,????? ,Bhojya,Enjoyment of the fruits of the universe
232,????????? ,Swarajya,Self-Rule / Mastery over the Self
233,??????? ,Vairajya,Freedom from desire / Supremacy
234,????????? ,Kalpanothan,Rising above mental constructs
235,?????????? ,Parmesthya,The Highest Abode (of Brahma)
236,????? (*),Moksha (*),Liberation / Final Freedom
237,??????? (*) (???????????? ?????),Paryanka (*) (Brahmadevache Sthan),The Couch/Throne of Lord Brahma
238,?????? ,Umaloka,The Realm of Uma (Goddess Parvati)
239,????????? ,Pashupatiloka,The Realm of Lord Shiva (Pashupati)
240,????????????? ,Paropasyadroh,Enmity toward those worshiping the Supreme
241,?????? ??? ,Vishnu Loka,The Realm of Lord Vishnu
242,??????? ??? ,Muniman Bhang,Shattering of the pride of sages
243,????????? (*),Umapati Loka (*),The Realm of Shiva (Lord of Uma)
244,??? -??????????? ,Sva-svagama-agrah,Insistence on one's own traditional path
245,?????????? ,Kshirabdhi,The Ocean of Milk (Abode of Vishnu)
246,????? ,Avatar,Divine Incarnation
247,?? ??? (*),Go Loka (*),Goloka (The supreme abode of Krishna)
248,?????????????????? ?????? ?????? ,Bhaktajan-kalaha...,Conflict and mutual cursing among devotees
249,?? ,Tam,Darkness / Inertia (Tamas)
250,???????????? ,Mishrasatvagun,Mixed purity (Sattva mixed with Rajas/Tamas)
251,??? ??? ,Moha Loka,The Realm of Delusion
252,????????? ,Dukha-dhvansa,Destruction of suffering
253,?????? ??? ,Mahamoha Loka,The Realm of Great Delusion
254,??????? ??? ,Tamishra Loka,The Realm of Gloom / Darkness
255,???????? ???? ??? ,Ekvimshati Dukha Nash,Destruction of the twenty-one types of grief
256,?????????? ??? ,Andhatamishra Loka,The Realm of Utter Darkness
257,?????? ???????????? ,Atyanta Dukha-nivritti,Absolute cessation of suffering
258,????????? ,Klesh-hani,Removal of spiritual afflictions (Kleshas)
259,???? ?????? ,Mula Vidya,Primal Knowledge / Root Wisdom
260,???? ,Maya,The Cosmic Illusion
261,???? ????? ,Soham Vastu,"The Reality of ""I am He"" (Aham Brahmasmi)"
262,????? ???? ,Shuddha Satva,Pure Purity (Unalloyed Sattva)
263,??????????? ???? ,Bhagavad-bhakti Abhav,Absence of devotion to God
264,?????? ????? ,Kutastha Dhyan,Meditation on the Unchanging Self
265,?????? ??? ,Vedant Loka,The Realm of Ultimate Wisdom (Vedanta)
266,?????? ,Unmani,The state beyond the mind (Unmani Avastha)
267,????? ?????? ,Shuddha Bhaskar,The Pure Sun (Symbol of Enlightenment)
268,???????? ,Mahaganapati,The Great Ganesha (Supreme Wisdom)
269,????????,Adishakti,The Primal Divine Energy
270,?????? ??? ,Paramshiva Loka,The Realm of Supreme Shiva
271,??? ????????? ,Adi Vaikuntha-loka,The Original Vaikuntha (Eternal Abode)
272,???????????? ,Nirgunasthan,The Abode of the Formless Absolute
273,?????? ,Turya,The Fourth State (Pure Consciousness)
274,?????????? ,Gunatitatva,The state of being beyond the three Gunas
275,??????????? ,Turyateet,Beyond the Fourth State (The Absolute)
276,?????????? ,Sacchidanand,Existence-Consciousness-Bliss
277,??? ????? ,Para Bhakti,Supreme Devotion (Non-dual Love)
278,??????????? ,Shokanivritti,Complete cessation of sorrow
279,????,Bhuma,The Infinite / The All-pervading
280,????????? ??????????? ,Amritanubhav Siddhanuvad,Experience of Nectar / Restating Truth
281,???????????????????????? ?????? ,Shri-mad-sadguru-jnaneshwar...,The protection/grace of Saint Jnaneshwar
282,??????? ?????? ,Nishchit Mukti,Certain/Guaranteed Liberation
283,??????????? ,Jivanmukti,Liberation while still in the body
284,??????????? ,Videhamukti,Liberation after leaving the body
285,??????????????????? ????????????? ???????? ,Nishkriyata-vachinna...,Spontaneous Non-dual Devotion in Inaction
,,,
